pair,representation,distance_mean,ci95_low,ci95_high,n_bootstrap
e-ɛ,acoustic_euclidean,0.3109392526206877,0.2190113424361437,0.4015986589580717,1000
e-ɛ,acoustic_mahalanobis,0.5231589678224118,0.35417538318916775,0.6940573932360286,1000
e-ɛ,whisper_layer20,0.511523124932165,0.47892307640521975,0.5430227735440336,1000
e-ɛ,xlsr_layer18,0.17196087758129827,0.15529029556068233,0.19012951520445023,1000
y-u,acoustic_euclidean,1.5070344404871763,1.392733296451956,1.6165506379820735,1000
y-u,acoustic_mahalanobis,2.953397870776952,2.7383277836026205,3.173246088200523,1000
y-u,whisper_layer20,0.4606571679601548,0.4199792200723486,0.5008603266515325,1000
y-u,xlsr_layer18,0.44129221561554216,0.3993657728611207,0.48683574449478456,1000
a-ɑ,acoustic_euclidean,0.7080983691724182,0.5948808142201629,0.811042101091376,1000
a-ɑ,acoustic_mahalanobis,1.2213108050121129,1.0322711451591196,1.3832603500338658,1000
a-ɑ,whisper_layer20,0.6518467420866257,0.5669662145799256,0.7347923839113678,1000
a-ɑ,xlsr_layer18,0.3542956736984281,0.32796103916681546,0.3805967623007312,1000
ø-œ,acoustic_euclidean,0.3839501999762747,0.30641313445856466,0.45819227883655067,662
ø-œ,acoustic_mahalanobis,0.7209150127949879,0.5730156880653817,0.8659803042966934,635
ø-œ,whisper_layer20,0.7155632010505822,0.6990793388074515,0.7326815795390568,640
ø-œ,xlsr_layer18,0.5572162613964541,0.5133091837506054,0.6037392544316409,653
