representation,response,model,term,estimate,std_error,z_value,p_value
acoustic,f1_lobanov,extended_height,Intercept,-0.9090219505622641,0.023192885892475056,-39.1939991761524,0.0
acoustic,f1_lobanov,extended_height,C(vowel_height)[T.low],1.6735599867378934,0.015074462689266637,111.01954485777503,0.0
acoustic,f1_lobanov,extended_height,C(vowel_height)[T.mid],0.7455869878406349,0.02267313596384234,32.884158108064504,3.702598228269772e-237
acoustic,f1_lobanov,extended_height,l2,-0.01400768092182009,0.023964958647529486,-0.5845067845866749,0.5588794019878257
acoustic,f1_lobanov,extended_height,male,-0.018742920672596797,0.02433989363895667,-0.7700494073892844,0.441270585297756
acoustic,f1_lobanov,extended_height,l2:male,-0.009127438555743793,0.03431818656526946,-0.2659650601987491,0.7902661180524287
acoustic,f2_lobanov,extended_height,Intercept,0.593865630799148,0.03130037995816447,18.973112517895892,2.84548926233826e-80
acoustic,f2_lobanov,extended_height,C(vowel_height)[T.low],-1.0743025929701286,0.02035181332258738,-52.78657856879112,0.0
acoustic,f2_lobanov,extended_height,C(vowel_height)[T.mid],-0.28382117100967247,0.030608304084749027,-9.272685289058206,1.8151738118115844e-20
acoustic,f2_lobanov,extended_height,l2,-0.00340004612713317,0.0323401595703062,-0.10513386984815605,0.9162695839674848
acoustic,f2_lobanov,extended_height,male,0.0034372020572268815,0.032846250619782795,0.10464518757452052,0.9166573570237744
acoustic,f2_lobanov,extended_height,l2:male,-0.0012721141759209553,0.04631193470097811,-0.02746838766582749,0.9780861533171554
whisper_layer20,whisper_pc1,extended_height,Intercept,-4.4459840315709425,0.18470951233677776,-24.070141138506468,5.137479547310556e-128
whisper_layer20,whisper_pc1,extended_height,C(vowel_height)[T.low],7.125149237390718,0.07484134169192962,95.20338727651439,0.0
whisper_layer20,whisper_pc1,extended_height,C(vowel_height)[T.mid],1.7773472529523953,0.11264473400968675,15.778343023115083,4.3855018188552345e-56
whisper_layer20,whisper_pc1,extended_height,l2,-0.16849700698452355,0.2005770920882279,-0.8400610719314183,0.4008741451232488
whisper_layer20,whisper_pc1,extended_height,male,-0.195122480607893,0.20352264724136354,-0.9587261331978031,0.33769672968253284
whisper_layer20,whisper_pc1,extended_height,l2:male,-0.0029796108977997757,0.2862235529744641,-0.010410082842014076,0.9916941056420018
whisper_layer20,whisper_pc2,extended_height,Intercept,-0.4419192651222387,0.1295415883164685,-3.4114084199943218,0.0006462820716781986
whisper_layer20,whisper_pc2,extended_height,C(vowel_height)[T.low],0.2741876314572973,0.0632137935376483,4.337465228913988,1.4413532754459538e-05
whisper_layer20,whisper_pc2,extended_height,C(vowel_height)[T.mid],-0.3271776025327484,0.09512105536713872,-3.439591805094478,0.0005825921551955364
whisper_layer20,whisper_pc2,extended_height,l2,-0.2352920942766819,0.13875481057931835,-1.6957400849333335,0.08993511364524666
whisper_layer20,whisper_pc2,extended_height,male,0.11193145060502031,0.14082591481255793,0.7948213988455411,0.42671740146285586
whisper_layer20,whisper_pc2,extended_height,l2:male,0.08347754378471785,0.19818851265639875,0.42120273605082065,0.6736070466215112
whisper_layer20,whisper_pc3,extended_height,Intercept,-2.130879424106971,0.19469292644420638,-10.944821997514236,7.0355787062381125e-28
whisper_layer20,whisper_pc3,extended_height,C(vowel_height)[T.low],4.944182429688826,0.0573332765765477,86.23582542134449,0.0
whisper_layer20,whisper_pc3,extended_height,C(vowel_height)[T.mid],5.374616194119274,0.08629133022546748,62.28454446206977,0.0
whisper_layer20,whisper_pc3,extended_height,l2,0.4272993719898751,0.21439301746658815,1.9930657119300406,0.0462542519904687
whisper_layer20,whisper_pc3,extended_height,male,-0.012922133788358126,0.21748778134421312,-0.0594154471965786,0.9526212097115854
whisper_layer20,whisper_pc3,extended_height,l2:male,0.02700744243163585,0.3056558579194566,0.08835898848944222,0.9295913562011946
whisper_layer20,whisper_pc4,extended_height,Intercept,-2.14633458335213,0.16549282679883687,-12.969351148742449,1.8256924090607424e-38
whisper_layer20,whisper_pc4,extended_height,C(vowel_height)[T.low],-1.6279819787199923,0.03877651334279966,-41.98371226231688,0.0
whisper_layer20,whisper_pc4,extended_height,C(vowel_height)[T.mid],1.7543236167826073,0.05836526734097613,30.05766437312214,1.7336721488774276e-198
whisper_layer20,whisper_pc4,extended_height,l2,-0.03840883833720409,0.1832664128140751,-0.2095792553989153,0.8339960718594857
whisper_layer20,whisper_pc4,extended_height,male,-0.18753101562637386,0.1858946010999797,-1.0088029158281688,0.3130691624120846
whisper_layer20,whisper_pc4,extended_height,l2:male,0.2322369226836406,0.26118334672751203,0.8891720149597795,0.37391064041928634
whisper_layer20,whisper_pc5,extended_height,Intercept,-1.2949624858857,0.27263770695947936,-4.74975563845306,2.0366259485705167e-06
whisper_layer20,whisper_pc5,extended_height,C(vowel_height)[T.low],2.6691123667933585,0.07484800246338613,35.66043553532407,1.6236984803080812e-278
whisper_layer20,whisper_pc5,extended_height,C(vowel_height)[T.mid],-0.3505285960685542,0.11265821874973103,-3.1114338568342674,0.0018618117759511368
whisper_layer20,whisper_pc5,extended_height,l2,0.4815021766322024,0.3008299896870028,1.600579041780971,0.1094701872975232
whisper_layer20,whisper_pc5,extended_height,male,-0.07304340766186804,0.3051624005272571,-0.23935913315554022,0.8108271160538996
whisper_layer20,whisper_pc5,extended_height,l2:male,-0.0760727364629179,0.42883087549367616,-0.17739566064440182,0.8591976155685995
