representation,response,model,n_obs,converged,log_likelihood,aic,bic,df_modelwc,var_fixed,var_random_speaker,var_residual,icc,marginal_r2,conditional_r2,comparison,lr_statistic,raw_lr_statistic,lrt_note,df,p_value
acoustic,f1_lobanov,null_model,8277.0,True,-11777.188106664558,23560.376213329117,23581.43992091777,2.0,7.524072879076713e-37,2.652023686273366e-33,1.0079166056038862,2.631193564555298e-33,7.464975611319269e-37,2.63194006211643e-33,,,,,,
acoustic,f1_lobanov,main_effects,8277.0,True,-11780.113810202616,23570.227620405232,23605.333799719658,4.0,0.0005180682550059279,6.396835643269549e-35,1.0086294019725353,6.342107052163578e-35,0.0005133721981080869,0.0005133721981080869,,,,,,
acoustic,f1_lobanov,full_interaction,8277.0,True,-11777.470979803744,23566.941959607488,23609.0693747848,5.0,5.247236715967343e-05,7.396222208491998e-34,1.0079855006814358,7.337627578464052e-34,5.2053958841433285e-05,5.2053958841433285e-05,,,,,,
acoustic,f1_lobanov,extended_height,8277.0,True,-7984.004417812626,15984.008835625253,16040.178722528335,7.0,0.6049340787773159,5.164839130347247e-06,0.4030529338792088,1.2814130634691664e-05,0.6001376719810144,0.6001427958691216,,,,,,
acoustic,f1_lobanov,,,,,,,,,,,,,,null_model_vs_main_effects,0.0,-5.85140707611572,optimizer_nonmonotonic,2.0,1.0
acoustic,f1_lobanov,,,,,,,,,,,,,,main_effects_vs_full_interaction,5.28566079774464,5.28566079774464,,1.0,0.021501731102317557
acoustic,f1_lobanov,,,,,,,,,,,,,,full_interaction_vs_extended_height,7586.933123982235,7586.933123982235,,2.0,0.0
acoustic,f2_lobanov,null_model,8277.0,True,-11724.023504801116,23454.047009602233,23475.110717190888,2.0,0.0,5.5784374581817685e-34,0.9950513729472378,5.606180353943959e-34,0.0,5.606180353943959e-34,,,,,,
acoustic,f2_lobanov,main_effects,8277.0,True,-11727.315710569528,23464.631421139056,23499.73760045348,4.0,0.001294908629909532,2.609101339749326e-33,0.9958432582249197,2.6199919698206544e-33,0.001298625078201479,0.001298625078201479,,,,,,
acoustic,f2_lobanov,full_interaction,8277.0,True,-11723.510613107239,23459.021226214478,23501.148641391792,5.0,0.0003878274405083179,1.4601108014857354e-33,0.9949280620952471,1.4675541449809415e-33,0.00038965261640624667,0.00038965261640624667,,,,,,
acoustic,f2_lobanov,extended_height,8277.0,True,-10468.434650205629,20952.869300411257,21009.03918731434,7.0,0.25915877100971807,7.933856740167244e-06,0.734647899381662,1.0799419784355866e-05,0.2607717474687214,0.26077973070493693,,,,,,
acoustic,f2_lobanov,,,,,,,,,,,,,,null_model_vs_main_effects,0.0,-6.584411536823609,optimizer_nonmonotonic,2.0,1.0
acoustic,f2_lobanov,,,,,,,,,,,,,,main_effects_vs_full_interaction,7.610194924578536,7.610194924578536,,1.0,0.005803920954395123
acoustic,f2_lobanov,,,,,,,,,,,,,,full_interaction_vs_extended_height,2510.1519258032204,2510.1519258032204,,2.0,0.0
whisper_layer20,whisper_pc1,null_model,8277.0,True,-24426.419462047445,48858.83892409489,48879.902631683544,2.0,4.930976402031714e-32,0.013402211079442937,21.408953350276658,0.0006256179924311991,2.301790009930901e-33,0.0006256179924311991,,,,,,
whisper_layer20,whisper_pc1,main_effects,8277.0,True,-24425.91009428748,48861.82018857496,48896.926367889384,4.0,0.0032707333060847834,0.009992738250703449,21.409072827752507,0.00046653474307320545,0.0001526786462683923,0.0006191421594485882,,,,,,
whisper_layer20,whisper_pc1,full_interaction,8277.0,True,-24425.899986414734,48863.79997282947,48905.92738800678,5.0,0.0033355103709798006,0.009916848634194099,21.409083644166984,0.0004629930625160172,0.0001557024579619089,0.000618623431320073,,,,,,
whisper_layer20,whisper_pc1,extended_height,8277.0,True,-21256.316582634936,42528.63316526987,42584.80305217295,7.0,11.453284676569409,0.04184235496202951,9.934049598114267,0.004194347248230415,0.5344715233120354,0.5364241113972045,,,,,,
whisper_layer20,whisper_pc1,,,,,,,,,,,,,,null_model_vs_main_effects,1.0187355199304875,1.0187355199304875,,2.0,0.6008753562004692
whisper_layer20,whisper_pc1,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.02021574549144134,0.02021574549144134,,1.0,0.8869361815728264
whisper_layer20,whisper_pc1,,,,,,,,,,,,,,full_interaction_vs_extended_height,6339.166807559595,6339.166807559595,,2.0,0.0
whisper_layer20,whisper_pc2,null_model,8277.0,True,-19884.9508134133,39775.9016268266,39796.965334415254,2.0,2.7736742261428393e-32,0.0405319868030999,7.128721031895906,0.005653585763730679,3.868846892289169e-33,0.005653585763730679,,,,,,
whisper_layer20,whisper_pc2,main_effects,8277.0,True,-19879.414628440863,39768.82925688173,39803.93543619615,4.0,0.025116047045957744,0.015365629414999263,7.128739714780713,0.0021508122675547043,0.0035033158658820244,0.00564659315869527,,,,,,
whisper_layer20,whisper_pc2,full_interaction,8277.0,True,-19879.327848577792,39770.655697155584,39812.783112332894,5.0,0.025413744668189638,0.015092040051929092,7.128731915930244,0.0021125996587991443,0.003544832202436838,0.005649943049934615,,,,,,
whisper_layer20,whisper_pc2,extended_height,8277.0,True,-19854.95954535225,39725.9190907045,39782.08897760758,7.0,0.06732237645738207,0.014734601130864776,7.0870204688957745,0.0020747830621550153,0.00939066106621563,0.011445960543848024,,,,,,
whisper_layer20,whisper_pc2,,,,,,,,,,,,,,null_model_vs_main_effects,11.072369944871753,11.072369944871753,,2.0,0.003941535256987264
whisper_layer20,whisper_pc2,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.17355972614313941,0.17355972614313941,,1.0,0.6769673514223824
whisper_layer20,whisper_pc2,,,,,,,,,,,,,,full_interaction_vs_extended_height,48.73660645108612,48.73660645108612,,2.0,2.6120433229318765e-11
whisper_layer20,whisper_pc3,null_model,8277.0,True,-21977.081205980197,43960.162411960395,43981.22611954905,2.0,0.0,0.12080820696731848,11.80620929548661,0.010128953608264829,0.0,0.010128953608264829,,,,,,
whisper_layer20,whisper_pc3,main_effects,8277.0,True,-21971.37396768247,43952.74793536494,43987.854114679365,4.0,0.0667405658828807,0.05382112636940437,11.806271325258754,0.004538002261695337,0.005595833008217006,0.010108441367064985,,,,,,
whisper_layer20,whisper_pc3,full_interaction,8277.0,True,-21971.348975560024,43954.69795112005,43996.82536629736,5.0,0.06691704339516227,0.053607571903977504,11.806271634908205,0.004520077394480199,0.005610646982755234,0.010105363818640273,,,,,,
whisper_layer20,whisper_pc3,extended_height,8277.0,True,-19056.773385645974,38129.54677129195,38185.71665819503,7.0,6.033272301665137,0.06032247474551393,5.829671311957148,0.010241517551631182,0.5060083585277969,0.5110675825942936,,,,,,
whisper_layer20,whisper_pc3,,,,,,,,,,,,,,null_model_vs_main_effects,11.414476595455199,11.414476595455199,,2.0,0.0033218338047081345
whisper_layer20,whisper_pc3,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.04998424489167519,0.04998424489167519,,1.0,0.8230906910794265
