phoneme_label,l1_status,gender,n_tokens,f1_missing_prop,f2_missing_prop,f3_missing_prop,f0_missing_prop,scg_missing_prop
x,L2,f,1,0.0,0.0,1.0,1.0,1.0
y,L1,f,60,0.0,0.0,0.0,0.0166666666666666,1.0
y,L1,m,213,0.0,0.0,0.0,0.1596244131455399,1.0
y,L2,f,205,0.0,0.0,0.0,0.0292682926829268,1.0
y,L2,m,60,0.0,0.0,0.0,0.0333333333333333,1.0
y̥,L2,m,1,0.0,0.0,1.0,1.0,1.0
z,L1,f,12,0.0,0.0,1.0,0.0,0.0
z,L1,m,42,0.0,0.0,1.0,0.0238095238095238,0.0
z,L2,f,43,0.0,0.0,1.0,0.0697674418604651,0.0
z,L2,m,12,0.0,0.0,1.0,0.0833333333333333,0.0
æ,L2,f,2,0.0,0.0,1.0,0.0,1.0
ø,L1,f,24,0.0,0.0,0.0,0.0,1.0
ø,L1,m,84,0.0,0.0,0.0,0.0,1.0
ø,L2,f,95,0.0,0.0,0.0,0.0,1.0
ø,L2,m,25,0.0,0.0,0.0,0.0,1.0
ø̰,L2,f,1,0.0,0.0,1.0,0.0,1.0
ŋ,L2,f,3,0.0,0.0,1.0,0.0,1.0
ŋ,L2,m,4,0.0,0.0,1.0,0.0,1.0
œ,L2,f,1,0.0,0.0,0.0,0.0,1.0
œ̃,L2,f,1,0.0,0.0,0.0,0.0,1.0
ɑ,L1,f,129,0.0,0.0,0.0,0.0,1.0
ɑ,L1,m,479,0.0,0.0,0.0,0.3068893528183716,1.0
ɑ,L2,f,262,0.0,0.0,0.0,0.0725190839694656,1.0
ɑ,L2,m,137,0.0,0.0,0.0,0.1021897810218978,1.0
ɑ̃,L1,f,24,0.0,0.0,0.0,0.0,1.0
ɑ̃,L1,m,81,0.0,0.0,0.0,0.0,1.0
ɑ̃,L2,f,89,0.0,0.0,0.0,0.0,1.0
ɑ̃,L2,m,13,0.0,0.0,0.0,0.0,1.0
ɑ̃ː,L2,f,1,0.0,0.0,1.0,0.0,1.0
ɑ̰̃,L1,m,1,0.0,0.0,1.0,0.0,1.0
ɕ,L2,f,2,0.0,0.0,1.0,1.0,1.0
ə,L1,f,19,0.0,0.0,0.0,0.0526315789473684,1.0
ə,L1,m,11,0.0,0.0,0.0,0.0909090909090909,1.0
ə,L2,f,83,0.0,0.0,0.0,0.0843373493975903,1.0
ə,L2,m,4,0.0,0.0,0.0,0.0,1.0
ə̰,L1,f,3,0.0,0.0,1.0,0.0,1.0
ə̰,L1,m,1,0.0,0.0,1.0,0.0,1.0
ə̰,L2,f,7,0.0,0.0,1.0,0.4285714285714285,1.0
ɛ,L1,f,36,0.0,0.0,0.0,0.0,1.0
ɛ,L1,m,126,0.0,0.0,0.0,0.0476190476190476,1.0
ɛ,L2,f,143,0.0,0.0,0.0,0.0,1.0
ɛ,L2,m,42,0.0,0.0,0.0,0.0238095238095238,1.0
