representation,mean_marginal_r2,max_marginal_r2,mean_conditional_r2,n_responses
acoustic,0.4304547097248679,0.6001376719810144,0.4304612632870292,2
xlsr_layer18,0.4097509087742016,0.6941698861671312,0.42463843653666683,5
whisper_layer20,0.30992079147919327,0.5344715233120354,0.3161011125042211,5
