row_id,speaker_id,sentence_id,repetition_index,token_index,phoneme_label,wav_path,onset,offset,start_frame,stop_frame
0,AB,FRcorp1,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.1,1.28,55,64
1,AB,FRcorp1,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.28,1.57,64,79
2,AB,FRcorp1,1,5,ʒ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.62,1.80063,81,91
3,AB,FRcorp1,1,6,ɑ̃,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,1.80063,2.07,90,104
4,AB,FRcorp1,1,7,ʃ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,2.07,2.31,103,116
