speaker_id,sentence_id,sentence_number,repetition_index,list_id,token_index,phoneme_label,phoneme_label_raw,word_label,onset,offset,duration,duration_ms,l1_status,native_language,gender,age,fr_level,ru_level,recording_duration,speaker_l1_from_filename,textgrid_path,wav_path,is_vowel,is_fricative,midpoint_s,f1_hz,f2_hz,f3_hz,f1_25_hz,f2_25_hz,f3_25_hz,f1_75_hz,f2_75_hz,f3_75_hz,f0_mean_hz,scg_hz,rms_energy,max_formant_hz,extraction_error
AB,FRcorp1,1,1,list1,14,f,f,fois,2.97,3.15,0.1799999999999997,179.99999999999972,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,False,True,3.06,1294.9291630701841,1605.7776623960299,,,,,,,,,5392.5402726493685,0.0005391332529079024,5000,
AB,FRcorp1,1,1,list1,15,w,w,fois,3.15,3.23366,0.08366,83.66000000000007,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,False,False,3.19183,622.0201006335315,1029.3841616634804,,,,,,,,216.882461316365,,0.01217493849328235,5000,
AB,FRcorp1,1,1,list1,16,a,a,fois,3.23366,3.39,0.1563400000000001,156.34000000000017,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp1.wav,True,False,3.31183,552.8084894967416,1396.9484697097146,2967.583438075313,830.2921206172795,1402.1283809014376,3018.373180338819,218.42039961716426,1314.0334022461313,3314.774077749642,207.2804622233383,,0.006797790893437993,5000,
AB,FRcorp2,2,1,list1,2,d,d,dis,0.84,1.01,0.17,170.00000000000003,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,False,0.925,233.7681282617353,753.3974336113298,,,,,,,,204.82299387512944,,0.006895306371605542,5000,
AB,FRcorp2,2,1,list1,3,i,i,dis,1.01,1.27,0.26,260.0,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,True,False,1.1400000000000001,449.7158466741208,2690.5885560674956,3818.036395385662,338.34716770712436,2691.5809700580667,3552.2591668393407,431.77463142152027,2635.3745575722796,3578.0758738814225,225.3036733966521,,0.010283626843003312,5000,
AB,FRcorp2,2,1,list1,5,s,s,sérieux,1.45661,1.62,0.1633900000000001,163.39000000000016,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,True,1.538305,1150.8733394853482,1842.4940128291814,,,,,,,,,8672.195938943141,0.0073232833862280685,5000,
AB,FRcorp2,2,1,list1,6,e,e,sérieux,1.62,1.74,0.1199999999999998,119.99999999999989,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,True,False,1.6800000000000002,514.9499474902984,2128.772400441771,3016.867398901005,491.4517015525352,2194.157549423895,2972.411633597523,604.6732642112834,1972.823967284346,3036.0337673686963,258.3263490440526,,0.01617432721128906,5000,
AB,FRcorp2,2,1,list1,7,ʁ,ʁ,sérieux,1.74,1.86,0.1200000000000001,120.00000000000011,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,True,1.8,1323.685006657221,1470.9893046174168,,,,,,,,289.0329228716957,2633.9853236711842,0.006447542274798736,5000,
AB,FRcorp2,2,1,list1,8,j,j,sérieux,1.86,1.99,0.1299999999999999,129.9999999999999,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,False,False,1.925,344.011043204179,2630.2220317438687,,,,,,,,235.41895206219027,,0.012808454718719938,5000,
AB,FRcorp2,2,1,list1,9,ø,ø,sérieux,1.99,2.20007,0.2100700000000002,210.0700000000002,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,True,False,2.095035,448.48549503353325,1220.9000830174434,2845.212124580632,421.4877571360512,1569.0204919177004,2664.149400994933,355.90028530528025,765.3036297640695,2482.706791078396,238.81428922851,,0.01588099432410529,5000,
